,NOM_GEO,AMBITO,GRID_NUMBER,Lat,long,X_GSR80,Y_GSR80,SQUARE_POLYGON,geometry,CENTROID,GRID_VAL
2733,Benito Juárez,Urbana,GRID_2733,19.36196407888341,-99.16853639065468,821188.8584998957,2796617.890100001,"POLYGON ((820788.8584998957 2796217.890100001, 821588.8584998957 2796217.890100001, 821588.8584998957 2797017.890100001, 820788.8584998957 2797017.890100001, 820788.8584998957 2796217.890100001))","POLYGON ((-99.17242900223526 19.35841252724733, -99.17227845795594 19.36203557549803, -99.16853628908973 19.36196403593392, -99.16861176435928 19.35826945691734, -99.17242900223526 19.35841252724733))",POINT (-99.1704581016398805 19.3601640010050211),SI
2734,Benito Juárez,Urbana,GRID_2734,19.36189249330512,-99.16471905322264,821188.8584998957,2797017.890100001,"POLYGON ((820788.8584998957 2796617.890100001, 821588.8584998957 2796617.890100001, 821588.8584998957 2797417.890100001, 820788.8584998957 2797417.890100001, 820788.8584998957 2796617.890100001))","POLYGON ((-99.16861176235325 19.35834104029449, -99.1684610149437 19.36196408634712, -99.164718951658 19.36189245035281, -99.16479452849204 19.35819777711603, -99.16861176235325 19.35834104029449))",POINT (-99.1666407805021919 19.3600924313678036),SI
2735,Benito Juárez,Urbana,GRID_2735,19.361820811299665,-99.16090171980838,821188.8584998957,2797417.890100001,"POLYGON ((820788.8584998957 2797017.890100001, 821588.8584998957 2797017.890100001, 821588.8584998957 2797817.890100001, 820788.8584998957 2797817.890100001, 820788.8584998957 2797017.890100001))","POLYGON ((-99.16479452648331 19.35826945691734, -99.16464357594418 19.36189250076893, -99.16090161824408 19.36182076834461, -99.16097729664226 19.35812600089072, -99.16479452648331 19.35826945691734))",POINT (-99.1628234633814714 19.3600207653033323),SI
2736,Benito Juárez,Urbana,GRID_2736,19.36174903286732,-99.15708439041732,821188.8584998957,2797817.890100001,"POLYGON ((820788.8584998957 2797417.890100001, 821588.8584998957 2797417.890100001, 821588.8584998957 2798217.890100001, 820788.8584998957 2798217.890100001, 820788.8584998957 2797417.890100001))","POLYGON ((-99.16097729463083 19.35819777711603, -99.16082614096275 19.36182081876358, -99.15708428885333 19.36174898990944, -99.15716006881536 19.35805412824159, -99.16097729463083 19.35819777711603))",POINT (-99.1590061502830480 19.3599490028117458),SI
2737,Benito Juárez,Urbana,GRID_2737,19.36167715800817,-99.15326706505483,821188.8584998957,2798217.890100001,"POLYGON ((820788.8584998957 2797817.890100001, 821588.8584998957 2797817.890100001, 821588.8584998957 2798617.890100001, 820788.8584998957 2798617.890100001, 820788.8584998957 2797817.890100001))","POLYGON ((-99.15716006680121 19.35812600089072, -99.15700871000485 19.3617490403313, -99.15326696349118 19.3616771150475, -99.15334284501671 19.35798215916886, -99.15716006680121 19.35812600089072))",POINT (-99.1551888412123645 19.3598771438932467),SI
2738,Benito Juárez,Urbana,GRID_2738,19.36160518672241,-99.14944974372636,821188.8584998957,2798617.890100001,"POLYGON ((820788.8584998957 2798217.890100001, 821588.8584998957 2798217.890100001, 821588.8584998957 2799017.890100001, 820788.8584998957 2799017.890100001, 820788.8584998957 2798217.890100001))","POLYGON ((-99.15334284299988 19.35805412824159, -99.15319128307583 19.36167716547222, -99.14944964216302 19.36160514375894, -99.14952562525173 19.35791009367268, -99.15334284299988 19.35805412824159))",POINT (-99.1513715361748496 19.3598051885479840),SI
2739,Benito Juárez,Urbana,GRID_2739,19.361533119010247,-99.14563242643727,821188.8584998957,2799017.890100001,"POLYGON ((820788.8584998957 2798617.890100001, 821588.8584998957 2798617.890100001, 821588.8584998957 2799417.890100001, 820788.8584998957 2799417.890100001, 820788.8584998957 2798617.890100001))","POLYGON ((-99.14952562323219 19.35798215916886, -99.14937386018114 19.36160519418657, -99.14563232487424 19.36153307604398, -99.14570840952584 19.3578379317532, -99.14952562323219 19.35798215916886))",POINT (-99.1475542351758463 19.3597331367761782),SI
2740,Benito Juárez,Urbana,GRID_2740,19.36146095487184,-99.14181511319298,821188.8584998957,2799417.890100001,"POLYGON ((820788.8584998957 2799017.890100001, 821588.8584998957 2799017.890100001, 821588.8584998957 2799817.890100001, 820788.8584998957 2799817.890100001, 820788.8584998957 2799017.890100001))","POLYGON ((-99.14570840750359 19.35791009367268, -99.14555644132616 19.36153312647448, -99.14181501163029 19.36146091190276, -99.14189119784439 19.35776567341065, -99.14570840750359 19.35791009367268))",POINT (-99.1437369382207834 19.3596609885779714),SI
2741,Iztapalapa,Urbana,GRID_2741,19.361388694307347,-99.13799780399889,821188.8584998957,2799817.890100001,"POLYGON ((820788.8584998957 2799417.890100001, 821588.8584998957 2799417.890100001, 821588.8584998957 2800217.890100001, 820788.8584998957 2800217.890100001, 820788.8584998957 2799417.890100001))","POLYGON ((-99.14189119581947 19.3578379317532, -99.1417390265163 19.36146096233615, -99.13799770243652 19.36138865133548, -99.13807399021285 19.35769331864515, -99.14189119581947 19.3578379317532))",POINT (-99.1399196453150466 19.3595887439535446),SI
2742,Iztapalapa,Urbana,GRID_2742,19.36131633731699,-99.1341804988604,821188.8584998957,2800217.890100001,"POLYGON ((820788.8584998957 2799817.890100001, 821588.8584998957 2799817.890100001, 821588.8584998957 2800617.890100001, 820788.8584998957 2800617.890100001, 820788.8584998957 2799817.890100001))","POLYGON ((-99.1380739881852 19.35776567341065, -99.13792161575698 19.36138870177175, -99.13418039729834 19.36131629434231, -99.13425678663656 19.35762086745691, -99.1380739881852 19.35776567341065))",POINT (-99.1361023564640789 19.3595164029030933),SI
